كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
98961,اخلاق اسلامي (مباني و مفاهيم),نظري,2,0,1639896135,خواهران - ترم آخري,,فاطمه سادات موسوي زاده,,0,,1405/10/23 از 16:30 تا 18:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
98961,اخلاق اسلامي (مباني و مفاهيم),نظري,2,0,1639896134,خواهران,,فاطمه سادات موسوي زاده,,45,,1405/10/23 از 16:30 تا 18:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
98961,اخلاق اسلامي (مباني و مفاهيم),نظري,2,0,1639896133,خواهران,يكشنبه  از 11:00 تا 11:45 يكشنبه  از  از 12:15 تا 13:15 ,فاطمه سادات موسوي زاده,,45,,1405/10/23 از 16:30 تا 18:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
98961,اخلاق اسلامي (مباني و مفاهيم),نظري,2,0,1639896132,خواهران,يكشنبه  از 07:30 تا 09:15 ,فاطمه سادات موسوي زاده,,45,,1405/10/23 از 16:30 تا 18:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,رشته دندانپزشكي,دوشنبه  از 12:00 تا 14:30 ,مرتضي جعفري,,55,,1405/10/24 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 10:15 تا 11:45 دوشنبه  از  از 12:15 تا 13:15 ,شهره خادمي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 07:30 تا 10:15 ,شهره خادمي,,55,,1405/10/24 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 10:15 تا 11:45 دوشنبه  از  از 12:15 تا 13:15 ,نويداله عربي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 07:30 تا 10:15 ,نويداله عربي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
55006,زبان فارسي (پيش نياز دانشگاهي),نظري,2,0,1.631E+19,,شنبه  از 11:00 تا 11:45 شنبه  از  از 12:15 تا 13:15 ,فرزانه پوررضا,,55,,1405/10/16 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
